,ID,Gene,Description,Full,Ontology_id,Ontology_term,moduleColor
20,Xele.ptg000001l.38,A0A2H4HHY6,NA,Aldehyde oxidase GLOX,"GO:0005615,GO:0005737,GO:0004031,GO:0050832","extracellular space,cytoplasm,aldehyde oxidase activity,defense response to fungus",Cluster 8
21,Xele.ptg000001l.41,At1g61480,NA,Putative receptor protein kinase ZmPK1,"GO:0110165,GO:0004672,GO:0005488,GO:0016310,GO:0051716","cellular anatomical entity,protein kinase activity,binding,phosphorylation,cellular response to stimulus",Cluster 7
22,Xele.ptg000001l.44,LOC109719219,NA,NA,"GO:0000139,GO:0031267,GO:0016192""","Golgi membrane,small GTPase binding,vesicle-mediated transport",Cluster 3
23,Xele.ptg000001l.45,COR1.4,NA,"NADPH-dependent aldo-keto reductase, chloroplastic","GO:0005829,GO:0009507,GO:0008106,GO:0016229,GO:0033707,GO:0047036,GO:0070401,GO:0009409,GO:0009414,GO:0009636,GO:0009651,GO:0019290,GO:0034224,GO:0071272,GO:1901868,GO:1901869,GO:1901871,GO:1901872,GO:1990641,GO:2001291","cytosol,chloroplast,alcohol dehydrogenase (NADP+) activity,steroid dehydrogenase activity,3''-deamino-3''-oxonicotianamine reductase activity,codeinone reductase (NADPH) activity,NADP+ binding,response to cold,response to water deprivation,response to toxic substance,response to salt stress,siderophore biosynthetic process,cellular response to zinc ion starvation,morphine metabolic process,ecgonine methyl ester catabolic process,ecgonine methyl ester biosynthetic process,ecgonone methyl ester catabolic process,ecgonone methyl ester biosynthetic process,response to iron ion starvation,codeine metabolic process",Cluster 8
24,Xele.ptg000001l.46,Os01g0847200,NA,Probable mannose-1-phosphate guanylyltransferase 1,"GO:0005829,GO:0004475,GO:0005515,GO:0005525,GO:0006486,GO:0009298,GO:0009408,GO:0009651,GO:0009753,GO:0010193,GO:0019853,GO:0030244,GO:0042742,GO:0060359","cytosol,mannose-1-phosphate guanylyltransferase (GTP) activity,protein binding,GTP binding,protein glycosylation,GDP-mannose biosynthetic process,response to heat,response to salt stress,response to jasmonic acid,response to ozone,L-ascorbic acid biosynthetic process,cellulose biosynthetic process,defense response to bacterium,response to ammonium ion",Cluster 4
25,Xele.ptg000001l.49,WAKL3,NA,Wall-associated receptor kinase-like 20,"GO:0016020,GO:0004383,GO:0004672,GO:0005515,GO:0006796,GO:0007166,GO:0009311,GO:0009615,GO:0009617,GO:0009751,GO:0009826,GO:0009992,GO:0048527,GO:0050832","membrane,guanylate cyclase activity,protein kinase activity,protein binding,phosphate-containing compound metabolic process,cell surface receptor signaling pathway,oligosaccharide metabolic process,response to virus,response to bacterium,response to salicylic acid,unidimensional cell growth,intracellular water homeostasis,lateral root development,defense response to fungus",Cluster 2
26,Xele.ptg000001l.50,NA,XP_022842086.1uncharacterized protein LOC111365800,NA,NA,NA,Cluster 5
27,Xele.ptg000001l.51,LOC_Os01g46760,NA,Probable protein phosphatase 2C 9,"GO:0019901,GO:0010030,GO:0010360,GO:0010150,GO:0006470,GO:0006970,GO:1902039,GO:0043169,GO:1902456,GO:0009658,GO:0006469,GO:0009414,GO:0009788,GO:0004722,GO:0009409,GO:0009408,GO:0009939,GO:0051607,GO:0005829,GO:0010205,GO:0033106","protein kinase binding,positive regulation of seed germination,negative regulation of anion channel activity,leaf senescence,protein dephosphorylation,response to osmotic stress,negative regulation of seed dormancy process,cation binding,regulation of stomatal opening,chloroplast organization,negative regulation of protein kinase activity,response to water deprivation,negative regulation of abscisic acid-activated signaling pathway,protein serine/threonine phosphatase activity,response to cold,response to heat,positive regulation of gibberellic acid mediated signaling pathway,defense response to virus,cytosol,photoinhibition,cis-Golgi network membrane",Cluster 3
28,Xele.ptg000001l.52,NA,-,NA,NA,NA,Cluster 5
29,Xele.ptg000001l.53,SDR,NA,Tropinone reductase homolog At5g06060,"GO:0005886,GO:0009536,GO:0004022,GO:0002213,GO:0009820,GO:0031347","plasma membrane,plastid,alcohol dehydrogenase (NAD+) activity,defense response to insect,alkaloid metabolic process,regulation of defense response",Cluster 5
30,Xele.ptg000001l.54,AHL8,NA,AT-hook motif nuclear-localized protein 15,"GO:0035067,GO:1900111,GO:0003690,GO:0043565,GO:0006325,GO:0043621,GO:0045824,GO:0005654,GO:0048440,GO:0003700,GO:0045892,GO:0050832,GO:0031490,GO:0042826,GO:0010150,GO:0003680,GO:1900425,GO:0009938,GO:0042393,GO:0048653,GO:2000028""","negative regulation of histone acetylation,positive regulation of histone H3-K9 dimethylation,double-stranded DNA binding,sequence-specific DNA binding,chromatin organization,protein self-association,negative regulation of innate immune response,nucleoplasm,carpel development,DNA-binding transcription factor activity,negative regulation of DNA-templated transcription,defense response to fungus,chromatin DNA binding,histone deacetylase binding,leaf senescence,minor groove of adenine-thymine-rich DNA binding,negative regulation of defense response to bacterium,negative regulation of gibberellic acid mediated signaling pathway,histone binding,anther development,regulation of photoperiodism, flowering",Cluster 4
31,Xele.ptg000001l.55,PSI3,Q9XID5.2RecName,Protein PSK SIMULATOR 1,NA,NA,Cluster 2
32,Xele.ptg000001l.58,RCA,NA,"Ribulose bisphosphate carboxylase/oxygenase activase 2, chloroplastic","GO:0009536,GO:0005488""","plastid,binding",Cluster 2
33,Xele.ptg000001l.59,LECRK18,NA,L-type lectin-domain containing receptor kinase S.4,"GO:0090333,GO:1901001,GO:0009611,GO:0009555,GO:0045028,GO:0046777,GO:0009751,GO:1900425,GO:0043621,GO:0005886,GO:0004675,GO:0005524,GO:0002229,GO:0140426,GO:2000022,GO:0050832,GO:0048041,GO:0070403,GO:0106167","regulation of stomatal closure,negative regulation of response to salt stress,response to wounding,pollen development,G protein-coupled purinergic nucleotide receptor activity,protein autophosphorylation,response to salicylic acid,negative regulation of defense response to bacterium,protein self-association,plasma membrane,transmembrane receptor protein serine/threonine kinase activity,ATP binding,defense response to oomycetes,pathogen-associated molecular pattern receptor signaling pathway,regulation of jasmonic acid mediated signaling pathway,defense response to fungus,focal adhesion assembly,NAD+ binding,extracellular ATP signaling",Cluster 4
34,Xele.ptg000001l.70,AHA8,NA,"ATPase 8, plasma membrane-type","GO:0005886,GO:0000287,GO:0003729,GO:0005515,GO:0005524,GO:0008553,GO:0016887,GO:0007033,GO:0007035,GO:0009414,GO:0009651,GO:0009737,GO:0010023,GO:0010119,GO:0120029,GO:1990069","plasma membrane,magnesium ion binding,mRNA binding,protein binding,ATP binding,P-type proton-exporting transporter activity,ATP hydrolysis activity,vacuole organization,vacuolar acidification,response to water deprivation,response to salt stress,response to abscisic acid,proanthocyanidin biosynthetic process,regulation of stomatal movement,proton export across plasma membrane,stomatal opening",Cluster 5
35,Xele.ptg000001l.73,NA,XP_038985338.1uncharacterized protein LOC103715974,NA,NA,NA,Cluster 2
36,Xele.ptg000001l.78,NA,XP_020680431.1uncharacterized protein LOC110098063,NA,NA,NA,Cluster 2
37,Xele.ptg000001l.79,NA,XP_039141178.1uncharacterized protein LOC120278450,NA,NA,NA,Cluster 2
38,Xele.ptg000001l.81,NA,XP_020102680.1uncharacterized protein LOC109720177,NA,NA,NA,Cluster 2
39,Xele.ptg000001l.82,NA,XP_039141178.1uncharacterized protein LOC120278450,NA,NA,NA,Cluster 2
40,Xele.ptg000001l.84,LOC105034783,XP_038988920.1uncharacterized protein LOC120103913 isoform X2,NA,GO:0016020,membrane,Cluster 3
41,Xele.ptg000001l.85,NA,XP_010691070.2putative protein TPRXL,NA,NA,NA,Cluster 3
42,Xele.ptg000001l.90,SS1,NA,Probable sucrose-phosphate synthase 1,"GO:0016157,GO:0046524,GO:0005986,GO:0050896,GO:0071836","sucrose synthase activity,sucrose-phosphate synthase activity,sucrose biosynthetic process,response to stimulus,nectar secretion",Cluster 3
43,Xele.ptg000001l.92,SMG7,NA,Nonsense-mediated mRNA decay factor SMG7,"GO:0005737,GO:0043229,GO:0050789,GO:0051321""","cytoplasm,intracellular organelle,regulation of biological process,meiotic cell cycle",Cluster 7
44,Xele.ptg000001l.93,LOC104592499,XP_043700841.1CCR4-NOT transcription complex subunit 10-like isoform X2,NA,NA,NA,Cluster 2
45,Xele.ptg000001l.94,NA,XP_043703041.136.4 kDa proline-rich protein-like,NA,NA,NA,Cluster 2
46,Xele.ptg000001l.95,ACR8,NA,ACT domain-containing protein ACR2,"GO:0005829,GO:0009506,GO:0005515,GO:0009737""","cytosol,plasmodesma,protein binding,response to abscisic acid",Cluster 1
47,Xele.ptg000001l.98,LOC105047619,XP_017699740.2uncharacterized protein LOC103712964,NA,NA,NA,Cluster 1
48,Xele.ptg000001l.102,RGGB,NA,RGG repeats nuclear RNA binding protein A,"GO:0005737,GO:0043231,GO:0003723""","cytoplasm,intracellular membrane-bounded organelle,RNA binding",Cluster 7
49,Xele.ptg000001l.107,PFK6,NA,ATP-dependent 6-phosphofructokinase 3,"GO:0005829,GO:0005886,GO:0009507,GO:0003872,GO:0005524,GO:0046872,GO:0006002,GO:0010053,GO:0016310,GO:0061615","cytosol,plasma membrane,chloroplast,6-phosphofructokinase activity,ATP binding,metal ion binding,fructose 6-phosphate metabolic process,root epidermal cell differentiation,phosphorylation,glycolytic process through fructose-6-phosphate",Cluster 1
50,Xele.ptg000001l.108,PTPMT1,NA,Phosphatidylglycerophosphate phosphatase PTPMT1,"GO:0004725,GO:0008138,GO:0008962,GO:0017018,GO:0006655,GO:0016311","protein tyrosine phosphatase activity,protein tyrosine/serine/threonine phosphatase activity,phosphatidylglycerophosphatase activity,myosin phosphatase activity,phosphatidylglycerol biosynthetic process,dephosphorylation",Cluster 1
51,Xele.ptg000001l.109,At5g42100,NA,"Glucan endo-1,3-beta-glucosidase 13","GO:0005576,GO:0005737,GO:0005886,GO:0043231,GO:0098552,GO:0042803,GO:0042973,GO:0002215,GO:0006076,GO:0007154,GO:0009793,GO:0010584,GO:0050832,GO:0071555","extracellular region,cytoplasm,plasma membrane,intracellular membrane-bounded organelle,side of membrane,protein homodimerization activity,glucan endo-1,3-beta-D-glucosidase activity,defense response to nematode,(1->3)-beta-D-glucan catabolic process,cell communication,embryo development ending in seed dormancy,pollen exine formation,defense response to fungus,cell wall organization",Cluster 2
52,Xele.ptg000001l.110,DER1.1,NA,Derlin-1,"GO:0000839,GO:0051787,GO:1990381,GO:0030433,GO:0030968""","Hrd1p ubiquitin ligase ERAD-L complex,misfolded protein binding,ubiquitin-specific protease binding,ubiquitin-dependent ERAD pathway,endoplasmic reticulum unfolded protein response",Cluster 3
53,Xele.ptg000001l.111,PRO2,NA,Profilin-3,"GO:0005737,GO:0005856,GO:0003779""","cytoplasm,cytoskeleton,actin binding",Cluster 3
54,Xele.ptg000001l.112,DTX52,NA,Protein DETOXIFICATION 51,"GO:0005770,GO:0005802,GO:0005886,GO:0010008,GO:0017119,GO:0005381,GO:0005515,GO:0042910,GO:0090440,GO:0006826,GO:0006970,GO:0009408,GO:0009646,GO:0009737,GO:0010015,GO:0010150,GO:0010600,GO:0031348,GO:0042908,GO:0046620,GO:0055085,GO:0071244,GO:0080168,GO:1902456,GO:1905428,GO:2000070""","late endosome,trans-Golgi network,plasma membrane,endosome membrane,Golgi transport complex,iron ion transmembrane transporter activity,protein binding,xenobiotic transmembrane transporter activity,abscisic acid transmembrane transporter activity,iron ion transport,response to osmotic stress,response to heat,response to absence of light,response to abscisic acid,root morphogenesis,leaf senescence,regulation of auxin biosynthetic process,negative regulation of defense response,xenobiotic transport,regulation of organ growth,transmembrane transport,cellular response to carbon dioxide,abscisic acid transport,regulation of stomatal opening,regulation of plant organ formation,regulation of response to water deprivation",Cluster 2
55,Xele.ptg000001l.114,fusA1,NA,Elongation factor 2,"GO:0009507,GO:0016607,GO:0003729,GO:0003746,GO:0003924,GO:0005515,GO:0005525,GO:0006364,GO:0006414,GO:0009631,GO:0009793,GO:0048437,GO:0050821","chloroplast,nuclear speck,mRNA binding,translation elongation factor activity,GTPase activity,protein binding,GTP binding,rRNA processing,translational elongation,cold acclimation,embryo development ending in seed dormancy,floral organ development,protein stabilization",Cluster 7
56,Xele.ptg000001l.117,ERD7,NA,"Senescence/dehydration-associated protein At4g35985, chloroplastic","GO:0006950,GO:0009628,GO:0010033,GO:1901700""","response to stress,response to abiotic stimulus,response to organic substance,response to oxygen-containing compound",Cluster 3
57,Xele.ptg000001l.121,MOD1,NA,NADP-dependent malic enzyme,"GO:0005829,GO:0009507,GO:0004471,GO:0004473,GO:0008948,GO:0042803,GO:0046872,GO:0051287,GO:0006090,GO:0006108,GO:0006633,GO:0046686","cytosol,chloroplast,malate dehydrogenase (decarboxylating) (NAD+) activity,malate dehydrogenase (decarboxylating) (NADP+) activity,oxaloacetate decarboxylase activity,protein homodimerization activity,metal ion binding,NAD binding,pyruvate metabolic process,malate metabolic process,fatty acid biosynthetic process,response to cadmium ion",Cluster 3
58,Xele.ptg000001l.130,SELMODRAFT_448915,A7P756.1RecName,CASP-like protein 3A1,GO:0005886,plasma membrane,Cluster 2
59,Xele.ptg000001l.132,LOC107915881,XP_028069846.1uncharacterized protein LOC114272363,NA,NA,NA,Cluster 2
60,Xele.ptg000001l.138,MUCI70,NA,Probable hexosyltransferase MUCI70,"GO:0016757,GO:0010246,GO:0045491,GO:0048358,GO:0080001","glycosyltransferase activity,rhamnogalacturonan I biosynthetic process,xylan metabolic process,mucilage pectin biosynthetic process,mucilage extrusion from seed coat",Cluster 2
61,Xele.ptg000001l.139,LOC109716899,XP_009394839.1PREDICTED: uncharacterized protein LOC103980238,NA,GO:0003723,RNA binding,Cluster 8
62,Xele.ptg000001l.140,VQ31,NA,VQ motif-containing protein 4,"GO:0005515,GO:0043433,GO:0051245""","protein binding,negative regulation of DNA-binding transcription factor activity,negative regulation of cellular defense response",Cluster 2
63,Xele.ptg000001l.141,WSD1,NA,Wax ester synthase/diacylglycerol acyltransferase 4,"GO:0005737,GO:0012505,GO:0016020,GO:0043231,GO:0008374,GO:0006950,GO:0008610,GO:0009628,GO:0010033,GO:1901700","cytoplasm,endomembrane system,membrane,intracellular membrane-bounded organelle,O-acyltransferase activity,response to stress,lipid biosynthetic process,response to abiotic stimulus,response to organic substance,response to oxygen-containing compound",Cluster 2
64,Xele.ptg000001l.142,BCB,Q5JNJ5.1RecName,Early nodulin-like protein 1,GO:0032578,aleurone grain membrane,Cluster 1
65,Xele.ptg000001l.143,SBT3.10,NA,Subtilisin-like protease SBT5.6,"GO:0005576,GO:0005737,GO:0009897,GO:0031012,GO:0043231,GO:0004252,GO:0006508,GO:0009609,GO:0009610,GO:0009682,GO:0009733,GO:0010074,GO:0010102,GO:0010103,GO:0010150,GO:0042127,GO:0048359,GO:0080001","extracellular region,cytoplasm,external side of plasma membrane,extracellular matrix,intracellular membrane-bounded organelle,serine-type endopeptidase activity,proteolysis,response to symbiotic bacterium,response to symbiotic fungus,induced systemic resistance,response to auxin,maintenance of meristem identity,lateral root morphogenesis,stomatal complex morphogenesis,leaf senescence,regulation of cell population proliferation,mucilage metabolic process involved in seed coat development,mucilage extrusion from seed coat",Cluster 2
66,Xele.ptg000001l.145,HVA22F,NA,HVA22-like protein f,"GO:0009409,GO:0009414,GO:0009555,GO:0009737,GO:0010507,GO:0042538""","response to cold,response to water deprivation,pollen development,response to abscisic acid,negative regulation of autophagy,hyperosmotic salinity response",Cluster 1
67,Xele.ptg000001l.148,RKF1,NA,Probable LRR receptor-like serine/threonine-protein kinase At1g53440,"GO:0016020,GO:0000166,GO:0004674,GO:0031625,GO:0002237,GO:0006979,GO:0009625,GO:0009751,GO:0042742,GO:0046777,GO:0050826,GO:0071215","membrane,nucleotide binding,protein serine/threonine kinase activity,ubiquitin protein ligase binding,response to molecule of bacterial origin,response to oxidative stress,response to insect,response to salicylic acid,defense response to bacterium,protein autophosphorylation,response to freezing,cellular response to abscisic acid stimulus",Cluster 4
68,Xele.ptg000001l.149,NA,XP_009405600.1PREDICTED: uncharacterized protein LOC103988710,NA,NA,NA,Cluster 7
69,Xele.ptg000001l.154,GGH1,NA,Gamma-glutamyl hydrolase 2,"GO:0005615,GO:0034722,GO:0046900","extracellular space,gamma-glutamyl-peptidase activity,tetrahydrofolylpolyglutamate metabolic process",Cluster 2
70,Xele.ptg000001l.158,ERD2A,NA,ER lumen protein-retaining receptor A,"GO:0005789,GO:0005801,GO:0046923,GO:0006621,GO:0015031,GO:0016192""","endoplasmic reticulum membrane,cis-Golgi network,ER retention sequence binding,protein retention in ER lumen,protein transport,vesicle-mediated transport",Cluster 3
71,Xele.ptg000001l.159,At5g45720,F4JRP0.1RecName,Protein STICHEL-like 3,NA,NA,Cluster 2
72,Xele.ptg000001l.164,P16273,P16273.2RecName,Pathogen-related protein,NA,NA,Cluster 2
73,Xele.ptg000001l.165,At5g44440,NA,Tetrahydroberberine oxidase,"GO:0045551,GO:0050268,GO:0050328,GO:0071949,GO:0006979,GO:0009651,GO:0009753,GO:0009793,GO:0010729,GO:0071456,GO:1901696","cinnamyl-alcohol dehydrogenase activity,coniferyl-alcohol dehydrogenase activity,tetrahydroberberine oxidase activity,FAD binding,response to oxidative stress,response to salt stress,response to jasmonic acid,embryo development ending in seed dormancy,positive regulation of hydrogen peroxide biosynthetic process,cellular response to hypoxia,cannabinoid biosynthetic process",Cluster 2
74,Xele.ptg000001l.169,PERK5,NA,Proline-rich receptor-like protein kinase PERK1,"GO:0005886,GO:0004674,GO:0005524,GO:0019901,GO:0106310,GO:0009611,GO:0009738,GO:0009845,GO:0016310,GO:0019722,GO:1900459,GO:1905393","plasma membrane,protein serine/threonine kinase activity,ATP binding,protein kinase binding,protein serine kinase activity,response to wounding,abscisic acid-activated signaling pathway,seed germination,phosphorylation,calcium-mediated signaling,positive regulation of brassinosteroid mediated signaling pathway,plant organ formation",Cluster 2
75,Xele.ptg000001l.170,TOM7-1,NA,Mitochondrial import receptor subunit TOM7-1,"GO:0005742,GO:0030150""","mitochondrial outer membrane translocase complex,protein import into mitochondrial matrix",Cluster 7
76,Xele.ptg000001l.175,USPL1,NA,BURP domain protein RD22,"GO:0000326,GO:0012505,GO:0043668,GO:0070645,GO:0003729,GO:0009651,GO:0042545,GO:0048316""","protein storage vacuole,endomembrane system,exine,Ubisch body,mRNA binding,response to salt stress,cell wall modification,seed development",Cluster 2
77,Xele.ptg000001l.176,MTHFR1,NA,Methylenetetrahydrofolate reductase (NADH) 2,"GO:0004489,GO:0071949,GO:0009086,GO:0035999","methylenetetrahydrofolate reductase (NAD(P)H) activity,FAD binding,methionine biosynthetic process,tetrahydrofolate interconversion",Cluster 2
78,Xele.ptg000001l.179,UGT88A1,NA,UDP-glycosyltransferase 88A1,"GO:0050004,GO:0080043,GO:0080044,GO:0080045,GO:0080046,GO:0009636,GO:0009809,GO:0042178,GO:0046148","isoflavone 7-O-glucosyltransferase activity,quercetin 3-O-glucosyltransferase activity,quercetin 7-O-glucosyltransferase activity,quercetin 3'-O-glucosyltransferase activity,quercetin 4'-O-glucosyltransferase activity,response to toxic substance,lignin biosynthetic process,xenobiotic catabolic process,pigment biosynthetic process",Cluster 2
79,Xele.ptg000001l.182,AOC3,NA,"Allene oxide cyclase, chloroplastic","GO:0009507,GO:0046423,GO:0006636,GO:0007623,GO:0009611,GO:0009625,GO:0009637,GO:0009646,GO:0009651,GO:0009695,GO:0009723,GO:0009734,GO:0009737,GO:0009751,GO:0010038,GO:0010114,GO:0010218,GO:0033274,GO:0042542,GO:0050832,GO:1900367","chloroplast,allene-oxide cyclase activity,unsaturated fatty acid biosynthetic process,circadian rhythm,response to wounding,response to insect,response to blue light,response to absence of light,response to salt stress,jasmonic acid biosynthetic process,response to ethylene,auxin-activated signaling pathway,response to abscisic acid,response to salicylic acid,response to metal ion,response to red light,response to far red light,response to vitamin B2,response to hydrogen peroxide,defense response to fungus,positive regulation of defense response to insect",Cluster 2
80,Xele.ptg000001l.184,NA,-,NA,NA,NA,Cluster 7
81,Xele.ptg000001l.185,SLAH4,NA,S-type anion channel SLAH3,"GO:0019901,GO:0009270,GO:0019903,GO:0090333,GO:0009651,GO:0010193,GO:1902456,GO:0006821,GO:0009416,GO:0005886,GO:0006873,GO:0009414,GO:1901529,GO:0008308,GO:0009737,GO:0050891,GO:0015711,GO:0010037""","protein kinase binding,response to humidity,protein phosphatase binding,regulation of stomatal closure,response to salt stress,response to ozone,regulation of stomatal opening,chloride transport,response to light stimulus,plasma membrane,intracellular monoatomic ion homeostasis,response to water deprivation,positive regulation of anion channel activity,voltage-gated monoatomic anion channel activity,response to abscisic acid,multicellular organismal-level water homeostasis,organic anion transport,response to carbon dioxide",Cluster 1
82,Xele.ptg000001l.186,P49099,NA,Acyl-lipid (9-3)-desaturase,"GO:0009707,GO:0005515,GO:0052631,GO:0006633,GO:0030148,GO:0070417","chloroplast outer membrane,protein binding,sphingolipid delta-8 desaturase activity,fatty acid biosynthetic process,sphingolipid biosynthetic process,cellular response to cold",Cluster 2
83,Xele.ptg000001l.189,CPK9,NA,Calcium-dependent protein kinase 1,"GO:1901002,GO:0004683,GO:0005886,GO:0009931,GO:0009414,GO:0009409,GO:0005524,GO:0005516,GO:0010119,GO:0005737,GO:0005509,GO:0010359,GO:0016310,GO:0035556,GO:0106310,GO:0080092","positive regulation of response to salt stress,calmodulin-dependent protein kinase activity,plasma membrane,calcium-dependent protein serine/threonine kinase activity,response to water deprivation,response to cold,ATP binding,calmodulin binding,regulation of stomatal movement,cytoplasm,calcium ion binding,regulation of anion channel activity,phosphorylation,intracellular signal transduction,protein serine kinase activity,regulation of pollen tube growth",Cluster 2
84,Xele.ptg000001l.190,LOC105041800,NA,NA,"GO:0016020,GO:0016757","membrane,glycosyltransferase activity",Cluster 2
85,Xele.ptg000001l.192,PSC,NA,Acidic endochitinase,"GO:0005615,GO:0003796,GO:0004857,GO:0005509,GO:0005515,GO:0008422,GO:0008843,GO:0000272,GO:0002221,GO:0006032,GO:0009409,GO:0009611,GO:0009642,GO:0009651,GO:0009845,GO:0042631,GO:0050832","extracellular space,lysozyme activity,enzyme inhibitor activity,calcium ion binding,protein binding,beta-glucosidase activity,endochitinase activity,polysaccharide catabolic process,pattern recognition receptor signaling pathway,chitin catabolic process,response to cold,response to wounding,response to light intensity,response to salt stress,seed germination,cellular response to water deprivation,defense response to fungus",Cluster 1
86,Xele.ptg000001l.193,PSC,NA,Acidic endochitinase,"GO:0005576,GO:0003796,GO:0004857,GO:0005509,GO:0005515,GO:0008422,GO:0008843,GO:0002221,GO:0005975,GO:0006032,GO:0009409,GO:0009611,GO:0009642,GO:0009651,GO:0009845,GO:0042631,GO:0050832","extracellular region,lysozyme activity,enzyme inhibitor activity,calcium ion binding,protein binding,beta-glucosidase activity,endochitinase activity,pattern recognition receptor signaling pathway,carbohydrate metabolic process,chitin catabolic process,response to cold,response to wounding,response to light intensity,response to salt stress,seed germination,cellular response to water deprivation,defense response to fungus",Cluster 2
87,Xele.ptg000001l.195,At3g61590,NA,F-box/kelch-repeat protein At3g61590,"GO:0004842,GO:0019538,GO:0035195,GO:0099402","ubiquitin-protein transferase activity,protein metabolic process,miRNA-mediated post-transcriptional gene silencing,plant organ development",Cluster 2
